Authors [separate with ; last name first],Year,Title,Additional info (i.e. journal),Topics,Language/dialect,Methods,Data,Project,URL,English abstract for non-English or N/A papers,University,Peer-reviewed,Type,OtherLinks,Review
"Bogacz, Bartosz",2018,Analyzing Handwritten and Transcribed Symbols in Disparate Corpora,PhD Thesis,OCR,Cuneiform,,,Spotting and Searching Cuneiform Symbols,https://archiv.ub.uni-heidelberg.de/volltextserver/24537/,,,yes,Thesis,,
"Bogacz, Bartosz; Mara, Hubert",2018,From Extraction to Spotting for Cuneiform Script Analysis,"13th IAPR International Workshop on Document Analysis Systems (DAS)At: Vienna, Austria",OCR,Cuneiform,,,GigaMesh; Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/324983497_From_Extraction_to_Spotting_for_Cuneiform_Script_Analysis,,,yes,Research Paper,,
"Brodziak, S.",2018,Probabilistische Hypothesenbestimmun selektiver Keilstrukturen,BA Thesis,Cuneiform analysis,,,,,,Probabilistic hypothesis determination of selective wedge structures,TU Dortmund,,Thesis,,
"Buccellati, Giorgio",2018,The Digital Itinerary of the Texts of Ebla,"Presented to Lucio Milano on the Occasion of His 65th Birthday by Pupils, Colleagues and Friends, edited by P. Corò, E. Devecchi, E. De Zorzi, and M. Maiocchi, 703–19. Alter Orient Und Altes Testament 436. Münster:",Project description,Eblaite; Akkadian,,,,https://www.academia.edu/40240683/The_Digital_Itinerary_of_the_Texts_of_Ebla,,,yes,Research Paper,,
"Chiarcos, C.; Khait, I.; Pagé-Perron, É.; Schenk, N.; Jayanth; Fäth, C.; Steuer, J.; Mcgrath, W.; Wang, J.",2018,Annotating a Low-Resource Language with LLOD Technology: Sumerian Morphology and Syntax,"Information 2018, 9(11), 290",Annotation,Neo-Sumerian,,,,https://www.mdpi.com/2078-2489/9/11/290,,,yes,Research Paper,,
"di Ludovico, A.",2018,Data Description and the Integrated Study of Ancient Near Eastern Works of Art: The Potential of Cylinder Seals,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",,,,,,,,,yes,Research Paper,,
"Eralsan, Dogu Kaan",2018,On the Problem of the Epigraphic Interoperability of Digitized Texts of the Mediterranean and Near Eastern Regions from the First Millennium BCE,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",Tablet digitization,Elamite; Akkadian; Egyptian; Old Persian,,,,,,,yes,Research Paper,,
"Guglielmo, Inglese; Molina, Maria; Eckhoff, Hanne",2018,Incorporating Hittite into PROIEL: a pilot project,"In Proceedings of the Second Workshop on Corpus-based Research in the Humanities (CRH-2), Adrew U. Frank, Christine Ivanovic, Francesco Mambrini, Marco Passarotti & Caroline Sporleder (eds.), 95-104",Treebanking,Old Hittite,,,,https://www.oeaw.ac.at/ac/crh2/proceedings/,,,yes,Research Paper,,
"Inglese, Guglielmo",2018,The Linguistic Annotation Of Fragmentary Texts: The Case Of Hittite. ,"Formal Representation And The Digital Humanities, 33.",Treebanking,Old Hittite,,,,https://books.google.fi/books?hl=fi&lr=&id=9OZ_DwAAQBAJ&oi=fnd&pg=PA33&dq=THE+LINGUISTIC+ANNOTATION+OF+FRAGMENTARY+TEXTS:+THE+CASE+OF+HITTITE&ots=o9fzw_C1K5&sig=tMchsuAM15rbiw_SfqEgfmaTanA&redir_esc=y#v=onepage&q=THE%20LINGUISTIC%20ANNOTATION%20OF%20FRAGMENTARY%20TEXTS%3A%20THE%20CASE%20OF%20HITTITE&f=false,,,yes,Research Paper,,
"Kriege, Nils M.; Fey, Matthias; Fisseler, Denis; Mutzel, Petra; Weichert, Frank. ",2018,Recognizing Cuneiform Signs Using Graph Based Methods. ,COST@SDM 2018: 31-44,OCR,Cuneiform,CNN,,,https://arxiv.org/abs/1802.05908,,,yes,Research Paper,,
"Kuhse, D.",2018,Semantische Datenbank-gestützte Annotierung von Keilschrifttafeln,BA Thesis,Cuneiform analysis,,,,,,Semantic database-supported annotation of cuneiform tablets,TU Dortmund,,Thesis,,
"Mäder, M., Balmer, S., Plachtzik, S.; Rawyler, N.",2018,Sequenzanalysen zur elamischen Strichscrift,Publikationen von Alice Kober Gesellschaft für die Entzifferung antiker Schriftsysteme.,Decipherment,Linear-Elamite,,,,https://center-for-decipherment.ch/pubs/Maeder%20et%20al%202018__Sequenzanalysen%20zur%20elamischen%20Strichschrift___Sequence%20Analysis%20in%20Linear%20Elamite.pdf,,,?,Book,,
"Migliori, Silvio; Quintiliani, Andrea; Alderuccio, Daniela; Ambrosino, Fiorenzo; Colavincenzo, Antonio; Mongelli, Marialuisa; Pierattini, Samuele; Ponti, Giovanni; Bolasco, Sergio; Baiocchi, Francesco; de Gasperis, Giovanni",2018,Parallel Text Mining of Large Corpora in GRID Environment – TaLTaC in ENEAGRID Infrastructure,"In: “High Performance Computing on CRESCO Infrastructure: research activity and results 2018"", pp. 227-232 - ISBN: 978-88-8286-390-6",Text Mining,,,,TIGRIS,https://www.researchgate.net/publication/338479809_Parallel_Text_Mining_of_Large_Corpora_in_GRID_Environment_-_TaLTaC_in_ENEAGRID_Infrastructure_In_High_Performance_Computing_on_CRESCO_Infrastructure_research_activity_and_results_2018_pp_227-232_-_ISB,,,yes,Research Paper,,
"Monroe, Willis",2018,Using Quantitative Methods for Measuring Inter-Textual Relations in Cuneiform,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",Data analysis,Late Babylonian,,,,,,,yes,Research Paper,,
"Müller, Gerfrid G.W.; Schwemer, Daniel",2018,Hethitologie-Portal Mainz (HPM). A Digital Infrastructure for Hittitology and Related Fields in Ancient Near Eastern Studies,De Gruyter Open Poland,Database Platform,Hittite,,,,https://doi.org/10.1515/9783110607208-014,,,yes,Chapter,,
"Nurmikko-Fuller, Terhi",2018,Publishing Sumerian Literature on the Semantic WEb,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",Semantic Web; Ontologies,Sumerian,,,,,,,yes,Research Paper,,
"Pagé-Perron, Émilie",2018,Network Analysis for Reproducible Research on Large Administrative Cuneiform Corpora,"Digital Biblical Studies, 194",SNA,Neo-Sumerian,,,,https://www.researchgate.net/publication/379184305_6_Network_Analysis_for_Reproducible_Research_on_Large_Administrative_Cuneiform_Corpora,,,yes,Research Paper,,
"Pagé-Perron, Émilie; Khait, Ilya; Chiarcos, Christian; Reckling, Lucas",2018,Towards a Linked Open Data Edition of Sumerian Corpora,Proceedings of the Workshop on Linked Data in Linguistic 2018,Annotation,Neo-Sumerian,,,MTAAC,https://aclanthology.org/L18-1387/,,,yes,Research Paper,,
"Pagé-Perron, Émilie; Khait, Ilya; Chiarcos, Christian; Schenk, Niko; Jayanth; Reckling, Lucas",2018,Annotating Sumerian: A LLOD-enhanced Workflow for Cuneiform Corpora,LREC 2018,Annotation,Neo-Sumerian,,,MTAAC,http://lrec-conf.org/workshops/lrec2018/W23/pdf/12_W23.pdf,,,yes,Research Paper,,
"Plutniak, Sébastien",2018,"Aux prémices des humanités numériques ? La première analyse automatisée d’un réseau économique ancien (Gardin & Garelli, 1961). Réalisation, conceptualisation, réception",ARCS - Analyse de réseaux pour les sciences sociales / Network Analysis for Social Sciences Volume 2 (September),,,,,,https://doi.org/10.46298/arcs.9236,,,yes,Research Paper,,
"Prosser, Miller C.",2018,Digital Philology in the Ras Shamra Tablet Inventory Project: Text Curation Through Computational Intelligence,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",Infra,Ugaritic,,,RSTI,,,,yes,Research Paper,,
"Rasheed, Nada A.; Nados, Wessam Lahmod",2018,Recognition of Cuneiform Symbols using Neural Network,"Journal of Theoretical and Applied Information Technology vol 96, no 17",OCR,,Neural,,,,,,yes,Research Paper,,
"Saeid, Ali Adel; Rahma, Abdual Munim S.; Hussien, Muhsen J. Abdul",2018,Cuneiform Tablets Image Preprocessing Proposed Algorithms Techniques for Pattern Recognition,Iraqi Journal of Science 59 No 3A pp.1326-1338,Tablet digitization,Cuneiform,Statistical,,,,,,yes,Research Paper,,
"Svärd, Saana; Alstola, Tero; Aleksi; Jauhiainen, Heidi; Lindén, Krister",2018,Semantic Domains in Akkadian Text,"CyberResearch on the Ancient Near East and Neighboring Regions: Case Studies on Archaeological Data, Objects, Texts, and Digital Archiving. Juloux, V. B., Gansell, A. R. & di Ludovico, A. (toim.). Leiden: Brill, s. 224-256 33",Distributional semantics,Akkadian,Word2vec; PMI,,ANEE/SemDom,https://helda.helsinki.fi/handle/10138/241805,,,yes,Research Paper,,
"Tinney, Steve J.",2018,L2: How It Works,Oracc,Lemmatization; POS-tagging,Akkadian,,,,http://oracc.museum.upenn.edu/doc/help/lemmatising/howl2works/,,,tool documentation,General Info / Website,,
"Yamauchi, Kenji; Yamamoto, Hajime; Mori, Wakaha",2018,Building A Handwritten Cuneiform Character Imageset,Proceedings of the Eleventh International Conference on Language Resources and Evaluation (LREC 2018),OCR,Cuneiform,,,,https://www.aclweb.org/anthology/L18-1115.pdf,,,yes,Research Paper,,
"Aktaş, A. Z.; Asuroglu, T.",2019,Computerized Hittite Cuneiform Sign Recognition and Data Mining Application Examples,"European International Journal of Science and Technology (EIJST) (ISSN: 2304-9693), Vol. 6 (No:7) pp. 1-19, October 2017",OCR,Hittite,,,,,,,yes,Research Paper,,
"Aktaş, Ziya A.; Yesiltepe, Beste; Aşuroğlu, Tunç",2019,Computerized Hittite Cuneiform Sign Recognition and Knowledge-Based System Application Examples,"European Scientific Journal November 2019 edition Vol.15, No.3.",OCR,Hittite,Neural; decision trees,,,,,,yes,Research Paper,,
"Alstola, Tero; Zaia, Shana; Sahala, Aleksi; Jauhiainen, Heidi; Svärd, Saana; Lindén, Krister",2019,Aššur and His Friends: A Statistical Analysis of Neo-Assyrian Texts,"Journal of Cuneiform Studies. 71, s. 159-180 22",SNA; Distributional semantics,Neo-Assyrian,fastText; PMI; SNA,,ANEE/SemDom,https://helda.helsinki.fi//bitstream/handle/10138/303986/2019_JCS_Assur_Published.pdf?sequence=1,,,yes,Research Paper,,
"Benites, Fernando; von Däniken, Pius; Cieliebak, Mark",2019,TwistBytes - Identification of Cuneiform Languages and German Dialects,"Proceedings of the Sixth Workshop on NLP for Similar Languages, Varieties and Dialects",Language identification,Akkadian; Sumerian,,,,https://digitalcollection.zhaw.ch/bitstream/11475/19012/3/W19-1421.pdf,,,yes,Research Paper,,
"Bernier-Colborne, Gabriel; Goutte, Cyril; Léger, Serge",2019,Improving Cuneiform Language Identification with BERT,"Proceedings of the Sixth Workshop on NLP for Similar Languages, Varieties and Dialects",Language identification,Akkadian; Sumerian,BERT,,,https://pdfs.semanticscholar.org/7743/2cf0c9460a2e3a54584229390d41f8ed68fe.pdf?_ga=2.214277207.139859498.1600419623-2036303802.1573079240,,,yes,Research Paper,,
"Born, Logan; Kelley, Kate; Kambathla, Nishant",2019,Sign Clustering and Topic Extraction in Proto-Elamite,"Proc. of the 3rd Joint SIGHUM Workshop on Computational Linguistics for Cultural Heritage, Social Sciences, Humanities and Literature, pp. 122–132. Minneapolis, MN, USA, June 7, 2019. ©2019 Association for Computational Linguistics.",Decipherment,Proto-Elamite,"LDA, Hierarchial clustering, n-grams",,,https://www.aclweb.org/anthology/W19-2516.pdf,,,yes,Research Paper,,
"Collins, Tim; Wolley, Sandra I.; Gehlken, Erlend; Ch'ng, Eugene",2019,Automated Low-Cost Photogrammetric Acquisition of 3D Models from Small Form-Factor Artefacts,Electronics 2019 (8),Tablet digitization,Cuneiform,Photogrammetry,,,,,,yes,Research Paper,,
"Dahl, J.L., Hameeuw, H., and Wagensonner, K.",2019,Looking both forward and back: imaging cuneiform,Cuneiform digital library preprints,,,,,, https://cdli.mpiwg-berlin.mpg.de/articles/cdlp/14.0,,,yes,Research Paper,,
"Doostmohammadi, Ehsan; Nassajian, Minoo",2019,Investigating  Machine  Learning  Methods  for  Language and Dialect Identification of Cuneiform Texts,"Proceedings of the Sixth Workshop on NLP for Similar Languages, Varieties and Dialects",Language identification,Akkadian; Sumerian,,,,,,,yes,Research Paper,,
"Fisseler, Denis",2019,Contributions to computer-aided analysis of cuneiform tablet fragments,PhD Thesis,Joins,Cuneiform,,,,https://eldorado.tu-dortmund.de/handle/2003/37929,,,yes,Thesis,,
"Homburg, Timo",2019,Paleo codage-a machine-readable way to describe cuneiform characters paleographically.,DH2019 conference,OCR,Cuneiform,,,CuneiPainter,https://www.researchgate.net/profile/Timo_Homburg/publication/331591275_Paleo_Codage_-_A_machine-readable_way_to_describe_cuneiform_characters_paleographically/links/5d12227f458515c11cf6fb68/Paleo-Codage-A-machine-readable-way-to-describe-cuneiform-characters-paleographically.pdf,,,yes,Research Paper,,
"Jauhainen, Tommi; Jauhiainen, Heidi; Alstola, Tero; Lindén, Krister",2019,Language and Dialect Identification of Cuneiform Texts,"Proceedings of the Sixth Workshop on NLP for Similar Languages, Varieties and Dialects",Language identification,Akkadian; Sumerian,HeLI,,ANEE,https://arxiv.org/pdf/1903.01891.pdf,,,yes,Research Paper,,
"Knepper, J.",2019,Segmentierung-konforme Netzkompression von Keilschriftdaten,BA Thesis,Cuneiform analysis,,,,,,Segmentation-compliant network compression of cuneiform data,TU Dortmund,,Thesis,,
"Mara, Hubert; Bogacz, Bartosz;",2019,Breaking the Code on Broken Tablets: The Learning Challenge for Annotated Cuneiform Script in Normalized 2D and 3D Datasets,International Conference on Frontiers of Handwriting Recognition (ICFHR),Benchmark dataset; OCR,Cuneiform,,,GigaMesh; Spotting and Searching Cuneiform Symbols,https://www.researchgate.net/publication/336019578_Breaking_the_Code_on_Broken_Tablets_The_Learning_Challenge_for_Annotated_Cuneiform_Script_in_Normalized_2D_and_3D_Datasets,,,yes,Research Paper,,
"Negri Scafa, Paola; Alderuccio, Daniela; Bracco, Giovanni; Migliori, Silvio",2019,A Preliminary Analysis of a Nuzi Scribal Family in view of an application in the ENEA-GRID,RAI 57,SNA,Nuzi,,,TIGRIS,https://iris.enea.it/retrieve/handle/20.500.12079/5327/66/RAI57th_ENEA.pdf,,,,Research Paper,,
"Nurullin, R.; Roudik, N.; Molina, M.; Sideltsev, A.; Skulacheva, T.",2019,"The Most Ancient Verse in the World (Sumerian, Akkadian, Hittite): Quantitative Analysis","QUANTITATIVE APPROACHES TO VERSIFICATION, 173.",Statistical analysis,Hittite; Akkadian; Sumerian,,,,https://publications.hse.ru/en/chapters/284796345,,,yes,Research Paper,,
"Paetzhold, Gustavo Henrique; Zampieri, Marcos",2019,Experiments in Cuneiform Language Identification,"Proceedings of the Sixth Workshop on NLP for Similar Languages, Varieties and Dialects",Language identification,Akkadian; Sumerian,SVM,,,https://www.aclweb.org/anthology/W19-1423.pdf,,,yes,Research Paper,,
"Pirngruber, Reinhard",2019,Cuneiform Palaeography in First Millennium BC Babylonia,"Current Research in Cuneiform Palaeography 2. Proceedings of the Workshop Organised at the 64th Rencontre Assyriologique Internationale Innsbruck 2018, edited by Elena Devecchi et al., 157–75",,,,,,https://ucrisportal.univie.ac.at/en/publications/cuneiform-palaeography-in-first-millennium-bc-babylonia/,,,,Research Paper,,
"Poerschke, O.",2019,Einsatz tiefer Faltungsnetze zur selektiven Bild-basierten Klassifikation von Keilschrifttafeln,BA Thesis,Cuneiform analysis,,,,,,Use of deep convolution networks for the selective image-based classification of cuneiform tablets,TU Dortmund,,Thesis,,
"Poth, J.",2019,Klassifikation Keilschrifttafel-assoziierter Autographien,BA Thesis,Cuneiform analysis,,,,,,Classification of cuneiform tablet-associated autographs,TU Dortmund,,Thesis,,
"Rusakov, Eugen; Brandenbusch, Kai; Fisseler, Denis; Somel, Turna; Fink, Gernot A.; Weichert, Frank; Müller, Gerfrid G. W.",2019,Generating Cuneiform Signs with Cycle-Consistent Adversarial Networks,International Workshop on Historical Document Imaging and Processing (HIP'19) (2019),OCR,Hittite,Neural,,,https://dl.acm.org/doi/pdf/10.1145/3352631.3352632?casa_token=yWqViB1xDv8AAAAA:DjAbreevskQufcJReAp8DZSQmMlCl_2zVPVn_FWoQJVgu7tdIYV5PKed4d8tngYABzBlwWjIz06D,,,yes,Research Paper,,
"Saied, Ali Adel; Rahma, Abdul Monem S.; Hossen, Abdul Mohssen",2019,Cuneiform Symbols Recognition by Support Vector Machine,Journal of AL-Qadisiyah for computer science and mathematics Vol.10 No.3,OCR,Assyrian,SVM,,,https://www.qu.edu.iq/journalcm/index.php/journalcm/article/download/449/380,,,yes,Research Paper,,
"Still, Bastian",2019,Quantitative Analysis of Priestly Marriages in Borsippa,The Social World of the Babylonian Priest,SNA,Neo-Babylonian,,,,https://brill.com/display/book/9789004399969/back-1.xml?language=en&srsltid=AfmBOorqDV6H3mzS4gPjRSAwmD5Us1zYoQanwO9Ps4dTz_8ib67tCGWk,,,yes,Research Paper,,
"Tinney, Steve J.",2019,Sumerian Lemmatization Primer,Oracc,Morphological analysis; Lemmatization; POS-tagging,Sumerian,,,Oracc,http://oracc.museum.upenn.edu/doc/help/languages/sumerian/sumerianprimer/index.html,,,tool documentation,General Info / Website,,
"Tinney, Steve J.",2019,Annotation of Sumerian Syntax,Oracc,Syntactic annotation,Sumerian,,,Oracc,http://oracc.museum.upenn.edu/doc/help/languages/sumerian/syntax/index.html,,,tool documentation,General Info / Website,,
"Zampieri, M.; Malmasi, S.; Scherrer, Y.; Samardžic, T.; Tyers, F.; Silfverberg, M. P.; Klyueva, N.; Pan, T.-L.; Huang, C.-R.; Ionescu, R., T.; Butnaru, A.; Jauhiainen, T.",2019,A report on the third VarDial evaluation campaign. ,"Proceedings of VarDial, pp. 1-16. The Association for Computational Linguistics.",Language identification,Akkadian; Sumerian,Various,,,https://www.aclweb.org/anthology/W19-1401.pdf,,,yes,Research Paper,,
"Andersen, Erik; Rozonoyer, Benjamin",2020,A Small Universal Dependencies Treebank for Hittite,"Proceedings of the Fourth Workshop on Universal Dependencies (UDW 2020), pages 1–7",Treebanking,Hittite,,,,https://aclanthology.org/2020.udw-1.1.pdf,,,yes,Research Paper,,
"Bogacz, Bartosz; Mara, Hubert",2020,Period Classification of 3D Cuneiform Tablets with Geometric Neural Networks,"International Conference on Frontiers of Handwriting Recognition (ICFHR), Dortmund, Germany",Sign analysis,Cuneiform,Neural,,Spotting and Searching Cuneiform Symbols,https://doi.org/10.1109/ICFHR2020.2020.00053 | https://www.youtube.com/watch?v=-iFntE51HRw,,,,Research Paper,,
"Bogacz, Bártosz; Mara, Hubert",2020,Period Classification of 3D Cuneiform Tablets with Geometric Neural Networks,"International Conference on Frontiers of Handwriting Recognition (ICFHR)At: Dortmund, Germany",Period classification,Cuneiform,Neural nets,,,https://www.researchgate.net/publication/344270103_Period_Classification_of_3D_Cuneiform_Tablets_with_Geometric_Neural_Networks#fullTextFileContent,,,yes,Research Paper,,
Dencker T.; Klinkisch P.; Maul S. M.; Ommer B.,2020,Deep learning of cuneiform sign detection with weak supervision using transliteration alignment,"PLOS ONE, 15(12), p. e0243039.",,,,,,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0243039,https://doi.org/10.1371/journal.pone.0243039.,,yes,Research Paper,,
"Di Ludovico, A; Camiz, S.",2020,Image study of Mesopotamian cylinder seals through texts: the Procrustes transformation applied to Correspondence Analysis results. ,"Archeologia e Calcolatori, 31 (1). pp. 7-32. ISSN 1120-6861",Iconography,,,,,http://eprints.bice.rm.cnr.it/20610/1/01_DiLudovico_Camiz.pdf,,,yes,Research Paper,,
"Fetaya, Ethan; Lifshitz, Yonathan; Aaron, Elad; Gordin, Shai",2020,Restoration of fragmentary Babylonian texts using recurrent neural networks,PNAS,Restoration,Late Babylonian,LSTM,,,https://arxiv.org/pdf/2003.01912.pdf,,,yes,Research Paper,,
"Gordin, Shai; Gutherz, Gai; Elazary, Ariel; Romach, Avital; Jiménez, Enrique; Berant, Jonathan; Cohen, Yoram",2020,Reading Akkadian Cuneiform Using Natural Languate Processing,PLOS ONE,Automatic Transliteration,Akkadian,Neural,,Akkademia,https://doi.org/10.1371/journal.pone.0240511,,,yes,Research Paper,,
"Luukko, Mikko; Sahala, Aleksi; Hadwick, Sam; Lindén, Krister",2020,Akkadian Treebank for early Neo-Assyrian Royal Inscriptions,Proceedings of the 19th Workshop on Treebanks and Linguistic Theories. pp. 124-134.,Treebanking,Akkadian,Neural; Finite-state,,Akkadian Treebanking Project/ANEE,https://researchportal.helsinki.fi/files/150214475/2020.tlt_1.11.pdf,,,yes,Research Paper,,
"Punia, R.; Schenk, N., Chiarcos, C; Pagé-Perron, É.",2020,Towards the First Machine Translation System for Sumerian Transliterations,COLING,MT,Sumerian,Neural Nets,,MTAAC,https://www.aclweb.org/anthology/2020.coling-main.308.pdf,,,yes,Research Paper,,
"Rusakov, Eugen; A. Fink, Gernot; Somel, Turna; Müller, Gerfrid G. W.",2020,Towards Query-by eXpression Retrieval of Cuneiform Signs,"Proc. Int. Conf. on Frontiers in Handwriting Recognition, Dortmund, NRW, Germany, 2020.",Query-by-Expression,Hittite,Various,,CuKa,https://patrec.cs.tu-dortmund.de/pubs/abstracts/Rusakov2020-TQX.htm,,,yes,Research Paper,,
"Sahala, Aleksi; Lindén, Krister",2020,Improving Word Association Measures in Repetitive Corpora with Context Similarity Weighting,"Proceedings of the 12th International Joint Conference on Knowledge Discovery, Knowledge Engineering and Knowledge Management",Distributional semantics,Akkadian,PMI; Statistical,,ANEE/SemDom,https://helda.helsinki.fi/server/api/core/bitstreams/7b8eaf4a-74b7-4f9d-9a03-69f0951d345e/content,"Although word association measures are useful for deciphering the semantic nuances of long extinct languages, they are very sensitive to excessively formulaic narrative patterns and full or partial duplication caused by different copies, edits, or fragments of historical texts. This problem is apparent in the corpora of the ancient Mesopotamian languages such as Sumerian and Akkadian. When word associations are measured, vocabulary from repetitive passages tends to dominate the top-ranks and conceal more interesting and descriptive use of the language. We propose an algorithmic way to reduce the impact of repetitiveness by weighting the co-occurrence probabilities by a factor based on their contextual similarity. We demonstrate that the proposed approach does not only effectively reduce the impact of distortion in repetitive corpora, but that it also slightly improves the performance of several PMI-based association measures in word relatedness tasks in non-repetitive corpora. Additionally, we propose normalization for PMI2, a commonly-used association measure, and show that the normalized variant can outperform the base measure in both, repetitive and non-repetitive corpora.",,yes (double blind),Research Paper,,
"Sahala, Aleksi; Silfverberg, Miikka; Arppe, Antti; Lindén, Krister",2020,BabyFST - Towards a Finite-State Based Computational Model of Ancient Babylonian,Proceedings of the 12th Conference on Language Resources and Evaluation (LREC 2020). European Language Resources Association (ELRA),Morphology; Lemmatization; POS-tagging,Babylonian,Finite-state; Foma; HFST,,ANEE/SemDom,https://www.aclweb.org/anthology/2020.lrec-1.479.pdf,,,yes,Research Paper,,
"Sahala, Aleksi; Silfverberg, Miikka; Arppe, Antti; Lindén, Krister",2020,Automated Phonological Transcription of Akkadian Cuneiform Text,Proceedings of the 12th Conference on Language Resources and Evaluation (LREC 2020). European Language Resources Association (ELRA),Phonological transcription,Akkadian,LSTM,,ANEE/SemDom,https://www.aclweb.org/anthology/2020.lrec-1.433.pdf,,,yes,Research Paper,,
"Veldhuis, Niek",2020,Compass,"Github, Jupyter notebooks",Text analysis toolkit and tutorial ,Sumerian; Akkadian,Various,,,https://github.com/niekveldhuis/compass,,,work in progress,Github repo,,
"Anderson, Adam G.",2021,The Digital Context of At-Risk Textual Archives,PRESERVING CULTURAL HERITAGE IN THE DIGITAL AGE,Network Analysis,,,,,https://drive.google.com/file/d/1QAruxqqTZlUbMQPgaYx1Ujc0GPkSy1Rk/view?usp=drive_link,,,yes,Chapter,,
"Bansal, Rachit; Choudhary, Himanshu; Punia, Ravneet; Schenk, Niko; Dahl, Jacob L.; Pagé-Perron, Émilie",2021,How Low is Too Low? A Computational Perspective on Extremely Low-Resource Languages,"Proceedings of the 59th Annual Meeting of the Association for Computational Linguistics and the 11th International Joint Conference on Natural Language Processing: Student Research Workshop, pages 44–59.",,,,,,https://arxiv.org/abs/2105.14515,,,,Research Paper,,
"Béranger, Marine",2021,Research on Old Babylonian archival texts: from digital editions to text analysis queries,IDCS 305,Platform; Lemmatization; POS-tagging,,,,,https://idcs.hypotheses.org/305,,,,Research Paper,,
"Kulikov, Anya; Anderson, Adam; Veldhuis; Niek",2021,Sumerian Networks: Classifying Text Groups in the Drehem Archives,IDEAH,NER; SNA; Classification,Sumerian,SNA; Classification,,,https://ideah.pubpub.org/pub/q22859lx,,,,Research Paper,,
"Lazar, Koren; Saret, Benny; Yehudai, Asaf; Horowitz, Wayne; Wasserman, Nathan; Stanovsky, Gabriel",2021,Filling the Gaps in Ancient Akkadian Texts: A Masked Language Modeling Approach,ArXiv Preprint,Reconstruction,Akkadian,,,,https://arxiv.org/pdf/2109.04513.pdf,,,TBC,Research Paper,,
"Maiocchi, Massimo",2021,Current Approaches towards Ancient Near Eastern Textual Sources: Some Remarks on Contemporary Methodologies for Philological Research,"dNisaba Za3-Mi2. Ancient Near Eastern Studies in Honor of Francesco Pomponio. Dubsar 19, edited by Palmiro Notizia et al., 117–27",,,,,,,,,,Research Paper,,
"Sahala, Aleksi",2021,Contributions to Computational Assyriology,Phd Thesis: Helsinki,Morphology; Lemmatization; POS-tagging; Semantic Analysis; SNA; Survey,Akkadian,Finite-state; Neural; Statistical,,,http://hdl.handle.net/10138/332924,,,yes,Thesis,,
"Sahala, Aleksi; Svärd, Saana",2021,Language technology approach to ´seeing´ in Akkadian,Handbook of senses in the ANE,Distributional semantics,Akkadian,PMI,,ANEE/SemDom,https://github.com/asahala/pmi-embeddings/,,,yes,Research Paper,,
"Seiler, Martin; Mara, Hubert; Bogacz, Bartosz",2021,Large Scale Wedge Extraction,IDCS 248,OCR,,,,,https://idcs.hypotheses.org/248,,,,Research Paper,,
"Svärd, Saana; Alstola, Tero; Jauhiainen, Heidi; Sahala, Aleksi; Lindén, Krister",2021,Fear in Akkadian Texts: New Digital Perspectives on Lexical Semantics,"The Expression of Emotions in Ancient Egypt and Mesopotamia. Hsu, S-W. & Llop-Raduà, J. (eds.). Leiden: Brill",Distributional semantics,Neo-Assyrian period,fastText; PMI,,ANEE/SemDom,https://brill.com/downloadpdf/display/book/edcoll/9789004430761/BP000020.pdf?srsltid=AfmBOopqshEz5VtfIhIoGL2b91o5ALgSGF7GW-bJDyk8YA-j4CXUkm6u,,,yes,Research Paper,,
"Timo Homburg, Anja Cramer, Laura Raddatz & Hubert Mara ",2021,Metadata schema and ontology for capturing and processing of 3D cultural heritage objects,"Heritage Science 9, 91 (2021)",3D,,,,GigaMesh,https://www.nature.com/articles/s40494-021-00561-w,,,,Research Paper,,
"Veldhuis, Niek",2021,Exploring Ancient Networks,"Digital Humanities Journal, Vol. 3, 1",Network Analysis; SNA,Sumerian,SNA,,Sumerian Networks,https://doi.org/10.21814/h2d.3508,,,,Research Paper,,
