word,definition,derived_from
mubabbilūtu I,"""rôle of juggler"" Mari;",mubabbilu I
muballiṭu I,"mostly f.  1. OB ""cage"" for a lion2. Mari (part of a canal, phps.) ""weir""3. lex. ""life?-boat""4. Am. ""smelling bottle""5. OB as fPN",balāṭu II D
muballiṭānu I,"""that keeps alive; maintainer"" MA;",balāṭu II D
mubannû I,"pl. mubannî, Aram. mubanniya 'who beautifies', ""preparer of offering tables""? j/NB [LÚ.DÍM] i.e. temple cook;",banû II D
mubannûtu I,"""office of the mubannû"" NB;",banû II D
mubannītu I,"""benefactress"" OB;",banû II D
mubarrimu I,"""worker of coloured textiles"" NA lex.;",barāmu I D
mubarrû I,"1. ""commentary""?2. (a temple? official) NB; Bogh. rab m. ""overseer of the m.""",barû I Dcf. mubirru I
mubarrītu I,"""observation corps""? Mari;",barû I D
mubassiru I,"pl. mubassirū ""messenger"" Mari, NA;",bussuru I
mubattiru I,(a worm or grub)? jB;,butturu II
mubbibu I,"pl. mubbibū ""census official"" Mari;",ebēbu I D
mubbirtu I,"""(female) accuser"" NA;",abāru III
mube'u I,"(or mupe'u) (an official, phps.) ""investigator"" Nuzi in LÚ m.;",bu''û II ?
mubirru I,(a prof.) MB; = mubarrû ?,
mubêšu I,"?, mube'išu? ""implement for stirring"" MA;",bêšu I D
mudakkiu I,(a (metal) object) NA;,dekû II D ?
mudallihu I,(an official)? NB;,dalāhu I
mudammiqtu I,"(a wooden implement) O/jB, NA;",damāqu I D
mudammiqu I,(a craftsman)? Mari;,damāqu I D
mudarriktu I,"""woman thresher"" NA;",darāku III D
mudasû I,"""list of names, register"" O/jB [MU.DA.SÁ];",Sum. 
mudatu I,(payment due from a mudu) Ug.;,mudu I
muddulu I,"""salted? (meat)"" OAkk(Sum.), jB;",madālu I D
muddû I,"""deficit, arrears""? Nuzi",cf. muṭû I
mudekkû I,"~ ""inciter, agitator""? MB;",dekû II D
mudeššû I,"""life-giver"" OB lex.;",dešû I D
mudidlû I,"""individual line"" jB lex. of text",
mudiṣṣu I,"""deceptive, oppressive""? OB lex.;",dâṣu I D
mudrû I,(a mourning garment)? jB lex.;,
mudu I,"(or muddu ), esp. m. šarri (a courtier), ""acquaintance"" of the king Ug.;",mudatu I cf. mūdû I
mudulu I,(a pole)? jB lex.;,Sum. 
mudû I,(a garment) OAkk(Sum.);,Sum.? 
mudāyû I,(a wooden object) jB lex.,cf. amūdāya I
mugallitu I,"""troublemaker; intimidator"" Bab.;",galātu I D
mugammertu I,"'that gathers'?, i.e. ""the sea"" jB lex.;",gamāru II D
mugammeru I,"""collector"" of soldiers, i.e. ""conscription officer""? OB;",gamāru II D
muganniṣu I,"~ ""haughty, sneering person"" OB lex.;",ganāṣu I D
mugdašru I,"""powerful"" j/NB;",gašāru I Gt
mugerru I,"""two-wheeled vehicle, chariot; wheel"" M/NA [GIŠ.GIGIR ?]; nangar m. ""cartwright"";",qarāru I ?cf. magarru I
mugguru I,"D ""to tear down"" NA, building",Aram. 
muggušu I,D mng. unkn. O/jB,
mugilu I,"(a container)? MA in m. ša urqe ""m. of greens""",
mugu I,"in rab m. (a high official) NA, NB",
muha''idu I,"""watcher"" jB lex.;",hiāṭu I D
muhabbiltu I,"'that damages', i.e. (a bad omen)? jB;",habālu II D
muhaddû I,"""who gives delight, joy"" OB as PN only;",hadû III D
muharrišu I,mng. unkn. jB lex.;,harāšu I or II D
muhaṭṭipu I,mng. unkn. OB;,haṭāpu I D
muheššû I,mng. unkn. jB lex.;,hašû IV D
muhhelṣītu I,"""slippery ground"" OB;",nehelṣû I
muhhu I,"""skull; top"" from OAkk on [UGU]  1. as subst. ""skull"", med. also ""brain""; ""surface"" of organs; ""upper part"" of object; OB math. (upper width or surface-area of a body)2. after prep. (cf. GAG §115h): ina muhhi, muh ""on, in, on top of""; ""over, above""; of debt, duty ""incumbent on"", OB ina m. PN šasûm ""to call s.o. to account""; talk, laugh, write ""about""; live ""at s.o.'s expense""3. ""with regard to, concerning; on account of""; NB ""in accordance with""; Am. often muhhi on its own4. ana m. ""in addition to"", math. ""plus"", ""with respect to"", ""toward(s)""; ""until""; ""onto"" (s.th. or s.o.); ""per""; ""against""; ""referring to""5. M/NA ša muhhi X ""official in charge of X""6. as adv. M/NB, NĀ ina m. ""(up)on it""; ""over, above it""; ""in addition""; ""about it, on that subject""; ana m. ""upon it""; ""in addition""",
muhhuriš I,"""as an offering"" jB, NA(roy. inscr.);",mahāru I D
muhhurtu I,"""opposite, facing (side)"" OA, M/jB;",mahāru I D
muhhuru I,"""offering"" MA, jB; MA Muhhur-ilī (8th? Ass. month);",mahāru I DOA cf. mahhuru I
muhhuṣu I,"f. muhhuṣ/štu ""provided with fittings""? jB lex.;",mahāṣu I D
muhru I,"1. jB (an offering)2. NA ""appeal""; (a prayer)3. jB (a cultic building) [KUN.SAG(.GÁ)]",mahāru I
muhtanbu I,"""growing"" jB;",hanābu I Gt
muhterkun I,"""female (animal)"" jB lex.;",Elam. 
muhtillû I,(a garment) M/NB,
muhurrā'u I,"""receipt"" of commodities OAkk;",mahāru I
muhālu I,(a foodstuff)? OA,
muk I,NA after 1 pers. sg. to introduce dir. speech,cf. mā I nuk I
muk II,(a plant) jB lex.,
mukabbiru I,"""boaster, exaggerator"" OB lex.;","kabāru I D, Dtn"
mukabbû I,"""stitcher, tailor"" j/NB [LÚ.TÚG.KAL(.KAL)];",kubbû II
mukallimtu I,"""scholarly commentary"" j/NB, NA [NÍG.PÀ.DA]; NB (an extract from the land register)?;",kullumu I
mukallu I,(a priest or scholar) jB,
mukannišu I,"""subjugator, subduer"" OB, MA in PN;",kanāšu I D
mukanzibtu I,(a water clock) jB lex.;,kazābu I D
mukarrisu I,"(a metal vessel for liquids) NA, NB;",karāsu I D?
mukarṣītu I,"(a metal item, phps.) ""cooler' NB;",kaṣû III D ?
mukattimtu I,1. jB rit. (a net)?2. jB lex. (desig. of a door),katāmu I Dcf. kātimtu I
mukaššidu I,"""pursuer, persecutor"";",kašādu I D
mukiddu I,mng. unkn. OB lex.;,kâdu I or II D
mukillu I,"""holder, support, grip"" Bab.  1. of objects (a vessel stand); m. dalti 'holder of a door'; m. šipri (a sleeve)?; m. rēši(m) (part of the liver)2. of person, deity, demon: m. abbūti ""intercessor, advocate""; m. appāti, ašâti ""chariot driver, rein-holder""; m. bābi(m) ""gatekeeper""; m. rēši(m) ""constant attendant"", m. rēš damiqtim ""good spirit"", m. rēš lemutti(m) ""evil spirit"" [SAG.HUL.HA.ZA]",kullu III
mukinnu I,"""witness"" Bab.; NB m. šarri mng. unkn.;",kânu I D
mukinnūtu I,"""testimony, evidence"" j/NB, NA;",kanû I D
mukkidu I,"jB lex., syn. of ukkudu",
mukku I,"""poor quality, waste wool"" O/jB lex.;",Sum. 
mukru I,(or muqru) (a loincloth) lex.,
muktaššaššu I,"""overpowering"" jB;",kašāšu I Rtn
mukānu I,(part of a loom)? O/jB,
mulabbiṭu I,mng. unkn. jB,
mulammidu I,"""master (of an apprentice)"" jB lex.;",lamādu I D
mulappitu I,(an implement) NA;,lapātu I D
muldamû I,"(or muldamulû) (an invertebrate) Bab. lex., syn. of lummû",
mulku I,"""kingship""? Am.;",W.Sem. 
mullilu I,"""purifier"" O/jB, NA  1. (a priest)2. (a cultic? cleaning implement) [SANGA4]",elēlu II D
mulluqtu I,mng. unkn. OB in fPN,
mullušu I,"""with the hair plucked/torn out"" OAkk in PN;",malāsu I
mulluṭu I,(a desig. of a person) jB lex.,
mullû I,"""filling (up), replenishment"" Bab., Nuzi, Bogh. ""compensation""; NB m. mullû ""to make compensation (for)""; Ug. ""compensation (blood money)"";",malû IV D
mullû II,(an object) OB;,Sum. 
mullītu I,"""she who raises"" OB of Ištar in fPN;",elû III D
mulmullu I,"""arrow"" M/NA, M/jB",
muluhhû I,'tearing out' jB om. uncert.;,malāhu IV
mulûtu I,"? ""rule(rship)"" NB;",
mulā'u I,"~ ""complementary payment"" to fill a quota O/MA;",malû IV
mulūgu I,"(a type of dowry) M/NB, Nuzi",
mulūgūtu I,~ mulūgu Nuzi,
mulūhu I,? (a type of wood)? OA,
muma''eru I,"f. muma''ertu ""commander, ruler; satrap"" j/NB, NA [LÚ.GAL.UKKIN];",wâru I
muma''erūtu I,"""office of satrap"" [LÚ.GAL.UKKIN- ] NB;",muma''eru I
mumannû I,"""flatterer""? OB lex.;",menû I D
mumarriqānu I,"""guarantor"" NB;",marāqu I Dcf. murruqūnu I
mumaššihu I,(a measuring instrument)? jB lex.;,mašāhu I D
mumbiu I,"""boaster, braggart""? OB lex.;",ebû II D
mummellu I,"""actor?, player"" jB lex.;",mēlulu I
mummenu I,(a trader)? jB lex.,
mummertu I,"""(female) matchmaker; procuress"" MA;",amāru I D
mummidu I,mng. unkn. OB lex. and as PN;,emēdu I D?
mummilu I,"""stirring, exciting; whirling; obscuring""? jB of deities; lex. of storm;",wamālu I D
mummu I,"~ ""life-giving force""? M/NB, NA of deities, e.g. Ea, Ištar, Papsukal, Marduk; DN dMummu, the vizier of Apsû; MB (a symbol of Ea); jB ""destination, use, purpose""?; (a school), (bīt) m. ~ ""(sculpture) workshop of a temple""; jB mār m. ""pupil, apprentice scribe"";",Sum. 
mummu II,pl. mummātu? (a scraper)? O/jB,
mummu III,"""someone, something"" Bab.",
mummu IV,"""noise""? jB",
mumtalku I,"f. muttaliktu Bab., NA  1. ""deliberate, circumspect""2. ""counsellor, sage""",malāku II Gt
muna''išu I,"""veterinary surgeon"" jB;",nêšu I D
munabbû I,(a lamentation priest) O/jB lex.;,nabû II D
munaggiru I,"""denouncer, informer"" O/jB;",nagāru II D
munaggirūtu I,"""activity of a denouncer"" jB;",munaggiru I
munamū I,"~ ""abundance""? jB",
munappihtu I,"""bellows""? OB;",munappihu I
munappihu I,"""lighter of fires; rumour-monger"" O/jB lex.;",napāhu I D
munappilu I,"""digger"" OB lex.;",napālu I D
munaqqītu I,"""libation vessel"" NA;",naqû I D
munattu I,"pl. munāmātu ""morning slumber"" jB; adv. munattiš ""awake""",
munawwiru I,"""brightening, cheering (person)"" OB in PN only, jB lex.;",nawāru I D
munaššiku I,"f. munaššiktu ""biting (dog)"" jB;",našāku I D
mundabru I,"(or mundapru) ~ ""powerful"" jB lex.;",dabāru I Gt ?
mundagru I,"""compliant"" jB;",magāru I Gt
mundahṣu I,"""fighting; fighter"" jB, NA;",mahāṣu I Gt
mundahṣūtu I,"""soldiering"" M/NB;",mundahṣu I
mundalkūtu I,"""deliberation, circumspection"" M/NB;",mumtalku I
mundu I,"(a type of flour) OAkk, Bab. [NÍG.ÀR.RA]",
mundultu I,(a type of bed) Bab. lex.,
munehhu I,"""who repulses, subduer"" Ass., M/jB;",nê'u I Dcf. munē'u I
mungapru I,"""superior""? jB lex.;",gapāru I N
mungu I,"(a disease involving) ""cramp, stiffness"" jB;",magāgu I
munhiatu I,"mng. unkn. OB, as field name",
munnabtu I,"f. munnabittu(m); pl. munnabtū, MB(Alal.) also munnabātu, Ug. munnabtūtu ""fugitive, refugee""; Ass., M/NB also as PN;",abātu II N (cf. GAG §97l)munnabtuttu I
munnabtuttu I,"""refugee status"" Bogh.;",munnabtu I
munnagru I,"""hired man"" NA;",agāru I N
munnarbu I,"""fugitive, runaway"" jB; ""fleet(-footed), swift"" of deity, demon, king;",nērubu I
munnišu I,"""weakening, debilitating"" jB;",enēšu I D
munutukû I,"""childless, without issue"" M/jB [MU.NU.TUKU];",Sum. 
munutukûtu I,"""childlessness"" M/jB [MU.NU.TUKU- ];",munutukû I
munzu'u I,"""squeezed dry, exhausted""? OB lex.;",mazā'u II D
munû I,(a type of bed) jB lex.;,Sum.(Emesal) 
munû II,(a foot disease) jB,
munē'u I,in siparri munē'e mng. unkn. NB,cf. munehhu I ?
munērtu I,"""murderess"" OB lex.;",nêru I D
munīqu I,"""lamb"" or ""kid"" NB;",enēqu Icf. unīqu I
munūtu I,"pl. munuātu ""(ac)count(ing)"" Ass., OB; OB ""check, count(ing)""; OA ""quota, dividend"";",manû IV
mupaddû I,"""(sheep) offering for the naming (of s.o.)"" jB lex.;",Sum. 
mupahhiru I,"""who gathers, collector"" OB; in PN;",pahāru II D
mupallisu I,"""who diverts, interferes"" OB;",palāsu I D
mupallišu I,"""breacher"" OB lex. in mupalliš bītātim ""burglar"";",palāšu I D
mupaqqirānu I,"""claimant"" NB;",baqāru I D
muparriṭu I,(a butcher)? Bogh.;,parāṭu I D
mupattilu I,"""(yarn-)twister"" OB;",patālu I D
mupattītu I,'opener' (an implement for cultivation) jB lex.;,petû II Dcf. mupettû I
mupazziru I,"""smuggler"" OA;",pazāru I D
mupašširu I,"OB lex.  1. (profession concerned with textiles)2. in m. šunātim ""dream-interpreter""",pašāru I D
mupaṣṣû I,"""washerman, cleaner"" NB;",peṣû II D
mupeggû I,"""slanderer"";",pagû II D
mupettû I,"""person regulating a sluice-gate""? OB lex.; ""open-mouthed""? OB in PN;",petû II Dcf. mupattītu I
muppalsihu I,(an occupation) OB;,napalsuhu I
muppalsu I,"""looking (benevolently) on (s.o.)"" jB;",palāsu I N
mupparšu I,"""flying, winged"" OB, jB; of bird, Anzû; Mupparšu (name of Marduk's horse);",naprušu II
muppištu I,"""witchcraft, spell"" jB;",muppišu I
muppišu I,"f. muppištu ""who does s.th. to (s.o.), harms (s.o.)"" jB, NA ""bewitcher, sorcerer, sorceress""; ""slanderer""; NA ""dealer, agent""?;",epēšu II D
muppišānu I,"""who committed"" (sorcery) MA;",epēšu II D
muqabbû I,"""who laments; wailer"" jB lex.;",qabû II D
muqallilu I,"""who belittles, humiliates"" OB, jB;",qalālu I D
muqallipu I,"""dehusker (of grain)""? OB lex.;",qalāpu I D
muqallû I,"""roaster (of grain)"" OB lex.;",qalû II D
muqappil zê I,"'roller-up of dung' = ""dung beetle"" jB lex.;",kapālu I ? + zû I
muqattertu I,"""censer, thurible"" j/NB;",qatāru II D
muqerribu I,"""transporter, delivery agent"" OA, OB;",qerēbu I D
muqipu I,"""guarantor"" OAkk, jB lex.;",qiāpu I D
muqqelpītu I,"(vessel) ""going downstream"" O/jB; OB ša m. (captain of a boat moving downstream); ana m. ""downstream""; ""from top to bottom, from top to toe"";",neqelpû I
muqqu I,"~ ""weakened, wearied"" O/jB;   I",muqqu II
muqqu II,"""to weary, tire; wane"" O/jB; OB ""obliterate, disregard"" fault, crime; ""be slack"", ""delay"" journey, action; of person ""age""; MB in PN; stat. jB of troops, limbs ""are slack"";",muqqu I
muqqutu I,"1. OB lex. ""wasted (through a disease)""2. Mari mng. uncert.",maqātu I D
muqtablu I,"""fighter"" Bab.;",qitbulu I
muquttû I,"~ ""claim falling due"" Bab.;",maqātu I
muqāru I,mng. unkn. O/jB; also as PN,
mur'u I,"(an official)? Nuzi, Ug.;",murūtu I
murabbiānu I,"1. MA ""foster-father""2. NA ""educator, tutor""?",rabû II Dcf. muribbānu I ?
murabbītu I,"""foster-mother"" O/jB;",rabû II D
murakkisu I,"""binder of sheaves"" jB lex.;",rakāsu I D
murammiktu I,"""washbasin"" OB;",ramāku I D
murammû I,(a tool) NB used for brick-making;,ramû III D ?
murappidu I,"""one who makes difficulties"" OA;",rapādu II D
muraqqiu I,"~ ""maker of perfumes, spicer"" M/NA [(LÚ.)Ì.RÁ.RÁ];",ruqqû I
muraqqītu I,"""(woman) maker of perfumes, spicer"" M/NA, NB; rab muraqqiātu ""chief of the female perfume makers"";",muraqqiu I
muraššû I,"'who does wrong' j/NB  1. ""quarreller, cantankerous person""2. ""wild cat"" [SA.A.RI] f. muraššītu; NB as PN",rašû III D
muraššû II,(a worker) NB,
muraṭṭibu I,"""soaking vessel"" = ""mash tun""? MB, jB lex.;",raṭābu I D
murdudû I,"(a plant) Bogh., jB [Ú.MUR.DÙ.DÙ; Bogh. MUL.DÙ.DÙ];",Sum. 
murdû I,"""lattice, grating"" O/jB in river; ""(golden) filigree"";",Sum. 
muremmiku I,"? ""bath attendant""? MB(Hana);",ramāku I D
murhu I,(a garment) lex.;,marāhu I ?
muribbānu I,(a function or prof.) NA/NB,cf. murabbiānu I ?
murinnāku I,mng. unkn. OB;,Sum. 
murkigû I,(pulmonary disease) Ug.;,Sum. 
murkunaš I,(a garment)? Nuzi,
murqu I,"~ ""intellect, reason"" jB; lā m. ""lack of reason; foolishness"";",marāqu I ?
murqu II,NB occas. for murruqu,
murraqūtu I,"""release, clearing from claims"" NB;",murruqu I 2
murratu I,(or hu/arratum) (a weapon)? OAkk,
murrihu I,"""urgent"" jB in ūm murrihti ""hasty, urgent storm"";",arāhu I D
murru I,"Ass., M/NB, Am., Bogh.  1. ""bitterness""2. ""myrrh"" [(GIŠ.)ŠIM.SES]",marāru Imurrānu I ?
murruqu I,"NB  1. of silver ""refined""2. ""released from claims""3. ""clear, intelligible""",marāqu I Dcf. murqu II
murrurtu I,"""slander""? Ug.;",marāru I D
murrutu I,(or hurrutu ?) (a plant) NB used to make flour during famine,
murrû I,"D ""to be silent"" jB lex.",
murrû II,"'one who uncovers' OA in murri qablītim ""uncoverer of the jar"" (to do accounts);",erû III D
murrānu I,"1. jB, NA (a tree or shrub) [GIŠ.MA.NU.SIG7.SIG7], jB also amurrānu2. OAkk(Sum.) (source of an oil); = 1 ?3. lex. (a stone (object))?",murru I ?
murta''imu I,"""thunderer"" (name of Adad) jB lex. (",ramāmu I Gtn ?
murtappidu I,"""wandering, roving"" O/jB; of animals, of ghost of a dead person [KIP-du ?]; of weapon;",rapādu II Gtn
murtaššû I,"""who wrongs continuously""? jB lex.;",rašû III Dtn
murtaṣnu I,"~ ""thunderous, roaring"" of Adad jB; dMurtaṣnu (name of Adad);",raṣānu I Gt
murtâmu I,"mostly in pl. murtâmū ""loving each other, lovers, friends"" M/jB;",râmu II Gt
muruqūnu I,etc. NB for cf. mumarriqānu,
muruš I,"""bed"" jB lex.",cf. maršu I 2
murušû I,"""man"" jB lex.;",Sum.? 
murzumurza I,(or ha/urzuha/urza?) (a garden plant) NB,
murzānu I,"(a wooden object) OAkk(Ur III), OB",
murû I,"""rainstorm"" Ug. lex.;",Sum. 
murāru I,"(a bitter vegetable, phps.) ""endive, chicory"" O/jB;",marāru Imurārītu I
murārītu I,"""vegetable plot""? MA;",murāru I
murīdu I,(a function or prof.) Bogh. Hitt.,
murūma I,pl. (a textile) Ug.,
murūtu I,"""function of mur'u official"" Nuzi;",mur'u I
murṣu I,"pl. murṣānu ""illness, disease"" [GIG] of various parts of the body, e.g. muruṣ qaqqadi ""head disease, headache"", m. šinni ""dental infection""; m. libbi(m) ""heartache, sorrow, distress"";",marāṣu I
musabbiktu I,"""woman basket-weaver"" jB lex.;",sabāku I D
musahhiptu I,(a hunting net) jB lex.;,sahāpu I D
musahhirtu I,mng. unkn. OB fPN ?;,sahāru I D ?
musahhiru I,"""buyer, buying agent"" NB; rab m. ""head of the buying agents"";",Aram. 
musahhû I,"""troublemaker""? OB in PN;",sehû I D
musakkiltu I,"(or musaqqiltu); pl. musakk/qqilātu (topog. term) NA, rdg. uncert.;",sakālu I D or akālu Št ?
musallihtu I,"pl. musallihātu (a libation vessel) M/NB, NA;",salāhu I D
musallimu I,"""conciliable, placatable"" jB;",salāmu II D
musammehtu I,"""woman mixer"" (of dough?)? NB; in bāb m. (name of a gate?);",samāhu I D
musarû I,(a disease)? jB lex.,
musassiānu I,"""who has proclamation made"" MA;",šasû I D
musellû I,"""supplicant"" OB lex.;",sullû I
museppû I,"""supplicant"" OB lex.;",suppû IIcf. also suppû I D
musiktu I,(or mušiktu) (a stone object) Ug. lex.,
musiqqu I,"""who makes narrow, confines"" OB lex.;",siāqu I D
musku I,"""s.th. bad, s.th. evil""? OB;",masāku I ?
mussahru I,"1. OB(Susa) (a household utensil)2. jB ""(benignly) turned to(wards s.o.)"", of goddess","sahāru I Gtn, N"
mussipu I,"~ ""scoop"" MA;",esēpu I D
mussiru I,"1. MA (part of a stove)2. lex. (part of a plough, phps.) ""seed funnel""3. Mari, jB lex. (a cultic functionary)",esēru II D ?
mussuku I,"""wretched, pitiful""? jB; MA also PN;",masāku I D
musukkannu I,"""Magan-tree"", phps. ""Dalbergia sissoo"" Bab., NA [GIŠ.MES.MÁ.KAN.NA (cf. mēsu)];",cf. usukannu I
musukku I,"f. (m)usukkatu ""ritually unclean; impure person"" O/jB [Ú.ZÚG; f. MUNUS.Ú.ZÚG];",Sum. 
musukkû I,"pl. tant.  1. OA, OB ""poor quality (silver)""?2. OB mng. unkn.",masāku I
musâtu I,"""(used) washing water"" j/NB ""toilet, lavatory""; bīt m. ""lavatory""; rābiṣ m. ""demon of the lavatory"";",mesû II
mutaqqinu I,(a gardening tool)? NB;,taqānu I D
mutarrītu I,(a woman hairdresser)? jB lex.,
mute''imu I,"""master, ruler, prince"" NB(Achaem.);",tu''umu II
mutellu I,"~ ""princely, noble"" Bab.(lit.) of deity; of human, in PN; of falcon; of divine or human speech, order etc.;",muttallūtu I
muterru I,"jB, NA '(re)turner'  1. lex. (a bolt)2. lex. (wooden part of a fowler's net)3. NA ""poker""4. m. gimilli ""avenger""5. m. ṭēmi ""adviser; agent""",târu I D; mutērtu
muthummu I,"""fruit(s), product(s) of a garden"" M/jB [NÍG.SA.SA(.HI.A)]",
muti I,"""ever"" OA, Bogh.",cf. matīma I
mutinnu I,"""choice wine"" jB;",Sum.(Emesal) 
mutkû I,mng. unkn. jB lex.,
mutlellû I,"""that rises; lofty, exalted"" j/NB, of deity;",utlellû I
mutnennû I,"""who prays much, pious"" M/NB;",utnēnu II
mutqu I,"""sweet thing, sweetness"" jB in akal m. ""sweet bread"";",matāqu Icf. mutqû I
mutqu II,"""head louse"" jB",
mutqû I,"""sweet bread"" Bab. [NINDA.KU7.KU7 ?];",matāqu Imutqītu I cf. mutqu I
mutqītu I,(a sweet bread)? NA;,mutqû I
mutta'du I,"~ ""attentive, submissive"" jB;",na'ādu I Gt
mutta'ilu I,mng. uncl. jB;,itūlu I Gtn
muttabbiltu I,"jB  1. ""female servant""2. ~ ""furniture""3. lex. pl. (a slide for battering ram)4. lex. (a hunting net)",muttabbilu I
muttabbilu I,"""servant"" O/jB;",wabālu I Gtn
muttablakkatu I,"""rebellious"" OB;",nabalkutu II Ntn
muttabrītu I,mng. uncl. Mari,
muttaddinu I,"""salesman, seller"" jB lex.;",nadānu II Gtn
muttaggišu I,"""bustling, restlessly busy"" O/jB of human, demon;",nagāšu I Gtn
muttahlilu I,"and sim. ""roaming around; prowler, vagabond"" Bab.;",halālu III Ntn
muttakkipu I,"""goring"" jB of demon;",nakāpu I Gtn
muttaklu I,"""trusted person"" jB;",takālu I N
muttakpu I,"""goring"" jB of animal, storm;",nakāpu I Gt
muttalliktu I,"pl. muttallikātu(m) 'regularly moving'  1. OA, O/jB (a mobile group); ""expeditionary force""; (a group of harvest-collectors)?; (a group of herdsmen); OA uncert.2. MB/MA, NA ""course, way""; OB math. (a coefficient); jB (slide, rails for battering ram)3. Bogh., jB (a sliding door)",muttalliku I
muttalliku I,"""mobile, movable, agile"" jB; of person ""roaming, restless""; ""travelling""; lex. of oven ""portable""; ""movable furniture"";",alāku I Gtn
muttallūtu I,"""superiority"" Bab. lex.;",muttellu I
muttanbiṭu I,"""bright, shining"" jB;",nabāṭu I Gtn
muttaplisu I,"~ ""inspector"" OB lex.;",palāsu I Ntn
muttapraššidu I,"""fugitive, homeless"" jB;",naparšudu I Ntn
muttaprirru I,"""roaming around"" jB;",parāru I
muttaprišu I,"""winged, flying"" M/jB [DAL.DAL] of bird, insect; transf. of fire;",naprušu II Ntn
muttarrittu I,"pl. muttarridātu(m) ""perpendicular (line)"" OB math.; abbr. mu-ut;",warādu I Gtn
muttarrû I,"""guide; leader (of a caravan)"" OA, OB;",warû II Gtn
muttatiku I,"""habitual fornicator"" jB lex.;",niāku I Gtn
muttatu I,"""half"" of parts of the body etc.; field; number of objects, people; OB occas. ""one-third""; OA (a half-container on one side of a donkey; half of a standard donkey's load ?)",
muttatu II,"""dead (animal)"" NB;",mâtu I
muttašrabbiṭu I,"""drifting about"" jB;",našarbuṭu I Ntn
muttaššiṭu I,"""arrogant""? jB;",wašāṭu I
mutteklemmû I,"""ever-frowning"" jB;",nekelmû I Ntn
muttellû I,"~ 'that roams around' jB, NB?; OB f. muttallītum (a servant)?;",ne'ellû I Ntn
mutterītu I,(a tool) jB lex.,
muttetendu I,"""conspiring, conspirator"" jB;",emēdu I
muttikku I,(person suffering from a venereal disease)? jB lex.;,niāku I Gtncf. muttatiku I
muttiš I,"""in front, before (s.o.)"" O/jB;",muttu I
muttu I,"""front (part)"" OA, O/jB; Bogh. ""front side"" of the body; with poss. suff. ""before (s.o.)"";",muttiš I
muttû I,(a pole) O/jB lex.,cf. mandû I
muttāru I,(a canal) jB lex.;,wâru I Gt
muttīlu I,(a demon) jB [KIN.GAL.UD.DA];,itūlu I ?
mutu I,"[DAM] m.  1. ""husband"", m. ahāti ""brother-in-law""; in PNs2. ""man, warrior""",mutūtu I
mutuššu I,(a warrior) jB lex.,
mutāqu I,"""confectionery, sweetmeat"" Bab., NA; ša m.(-šu) ""confectioner"" [(LÚ.)NINDA.KU7.KU7];",matāqu Imutāqūtu I
mutāqūtu I,"""service as a confectioner"" NB;",mutāqu I
mutērtu I,"pl. muterrētu Bab.  1. ""leaf of a door""; pl. ""double door""; NB bīt m. ""portico""2. (a fowler's net)",muterru I
mutūtu I,"O/jB  1. ""status of a husband"" in ana aššūtim u m. ahāzum, nadānum ""to take, give as wife and husband""2. ""manliness, bravery""",mutu I
mutūtu II,mng. unkn. NA,
muwarrītu I,"(a weapon or tool) O/jB, Am., Nuzi;",arû VI D
muwassû I,"~ ""inspector of slaves""? O/jB lex.; jB of DN [MAŠ.ŠU.GÁL];",wussû I
muza''iztu I,"""distributer"" MB as fPN;",zâzu I D
muzakkû I,"'cleaner' Mari, desig. of an implement;",zakû II
muzannibu I,(or musannipu) mng. unkn. OB lex.,
muzaqqipu I,(an agricultural occupation) OB lex.;,zaqāpu I D
muzibbu I,"'letting flow' j/NB, desig. of a water-clock;",zâbu I D
muzzapru I,"(or muṣṣabru) ""very bad"" (or ""malicious"") jB of lips, words, person;",zapāru I (or ṣabāru) Gt
muzzazu I,"""standing"" (later cf. mazzizu)  1. OAkk, pl. muzzāzū ""witness""2. OA ~ ""guarantor of appearance""?3. ""standing (on duty), serving"", OB muzzaz bīti ""servant""; muzzaz ēkallim ""courtier""; m. bābi (a tax collector)4. OB f.pl. muzzaztum (part of a necklace)",izuzzu I
muzzerrū I,"""enemies"" O/jB;",zêru I Gt
muzzuzu I,(or muṣṣuṣu) D mng. unkn. jB lex,
muzzû I,"""to flow"" jB D (see Mayer OrNS 86 p. 12)",
muzībtu I,"""drainage"" NB;",zâbu I
muzīqu I,"""raisin"" M/NB [(GIŠ.)GEŠTIN.UD.A]",
muzīqātu I,(a disease)? jB lex.;,mazāqu I
muā'u I,"in lā m. ""not to want (to)"" OA G after infin.; after subst. in acc. rare Gtn iter. of G",cf. lemû II
muātiš I,"""towards death"" OA;",mâtu I
muāšu I,"""to check""? NA;",Aram. 
muš'u I,"(an animal) jB lex., equated with kuṣu'u",
mušabbištu I,mng. unkn. jB lex.,
mušabšû I,"""that calls into existence; creator"" jB lex.; f. also DN;",bašû I Š
mušadbibu I,"1. MB ""that causes s.o. to litigate""2. j/NB, NA ""that causes s.o. to speak (sedition)""",dabābu II Š
mušadbibūtu I,"""instigation"" NA;",mušadbibu I
mušaddinu I,"""tax collector"" OB;",nadānu II Š
mušaddû I,"""that causes negligence""? jB;",nadû III Š
mušadgilu I,"""who transfers ownership (of s.th. to s.o.)"" NB;",dagālu I Š
mušaggišu I,"""murderer"" OB lex.;",šagāšu I D
